"id","taxon_group","taxon","common_name","synonym"
253077,89,"Abelia","",""
67585,89,"Abelia uniflora","",""
70133,81,"Abies","",""
163603,81,"Abies alba","European Silver-fir","Silver Fir"
144721,81,"Abies amabilis","Beautiful Silver-Fir","Red Silver-Fir"
105771,81,"Abies cephalonica","Greek Fir",""
242784,81,"Abies cilicica","Cilician Fir",""
166205,81,"Abies concolor","Colorado White-fir","Low's Fir"
181691,81,"Abies concolor var. lowiana","",""
108641,81,"Abies delavayi","Delavay's Silver-fir",""
20709,81,"Abies firma","Momi Fir",""
38772,81,"Abies forrestii","",""
366135,81,"Abies fraseri","Fraser Fir",""
18944,81,"Abies grandis","Giant Fir","Grand Fir"
257808,81,"Abies homolepis","Nikko Fir",""
251414,81,"Abies koreana","Korean Fir",""
94040,81,"Abies lasiocarpa","Subalpine Fir",""
106236,81,"Abies nordmanniana","Caucasian Fir",""
206448,81,"Abies pinsapo","Spanish Fir",""
244195,81,"Abies procera","Noble Fir",""
110953,81,"Abies veitchii","Veitch's Silver-fir",""
159526,89,"Abutilon","",""
36658,89,"Abutilon malvifolium","",""
46988,89,"Abutilon pictum","Chinese-lantern",""
173995,89,"Abutilon theophrasti","Velvetleaf",""
7171,89,"Acacia","",""
119905,89,"Acacia falciformis","Hickory Wattle",""
87285,89,"Acacia melanoxylon","Australian Blackwood",""
201663,89,"Acacia micrantha","",""
188384,89,"Acacia retinodes","",""
55509,89,"Acaena","",""
197207,89,"Acaena anserinifolia","Bronze Pirri-pirri-bur",""
42418,89,"Acaena anserinifolia x inermis","Pirri-Pirri-Bur",""
229446,89,"Acaena caesiiglauca","Glaucous Pirri-pirri-bur",""
57315,89,"Acaena hieronymi","",""
151498,89,"Acaena inermis","Spineless Acaena",""
164729,89,"Acaena magellanica","",""
128595,89,"Acaena microphylla","",""
136654,89,"Acaena novae-zelandiae","Pirri-pirri-bur",""
163899,89,"Acaena ovalifolia","Two-spined Acaena",""
236556,89,"Acaena ovina","Sheep's-bur",""
